type,op_name,tags,description_en,description_zh
aggregator,entity_attribute_aggregator,CPU¦API¦Stable,Summarizes a given attribute of an entity from a set of documents. ,汇总一组文档中实体的给定属性。
aggregator,meta_tags_aggregator,CPU¦API¦Stable,"Merge similar meta tags into a single, unified tag. ","将类似的元标记合并到一个统一的标记中。"
aggregator,most_relevant_entities_aggregator,CPU¦API¦Stable,Extracts and ranks entities closely related to a given entity from provided texts. ,从提供的文本中提取与给定实体密切相关的实体并对其进行排名。
aggregator,nested_aggregator,Text¦CPU¦API¦Stable,Aggregates nested content from multiple samples into a single summary. ,将多个示例中的嵌套内容聚合到单个摘要中。
deduplicator,document_deduplicator,Text¦CPU¦Stable,Deduplicates samples at the document level using exact matching. ,使用完全匹配在文档级别删除重复的样本。
deduplicator,document_minhash_deduplicator,Text¦CPU¦Stable,Deduplicates samples at the document level using MinHash LSH. ,使用MinHash LSH在文档级别删除重复样本。
deduplicator,document_simhash_deduplicator,Text¦CPU¦Stable,Deduplicates samples at the document level using SimHash. ,使用SimHash在文档级别删除重复的样本。
deduplicator,image_deduplicator,Image¦CPU¦Stable,Deduplicates samples at the document level by exact matching of images. ,通过图像的精确匹配在文档级别删除重复的样本。
deduplicator,ray_basic_deduplicator,CPU¦Alpha,Backend for deduplicator. ,deduplicator的后端。
deduplicator,ray_bts_minhash_deduplicator,Text¦CPU¦Beta,A distributed implementation of Union-Find with load balancing. ,具有负载平衡的Union-Find的分布式实现。
deduplicator,ray_document_deduplicator,Text¦CPU¦Beta,Deduplicates samples at the document level using exact matching in Ray distributed mode. ,在Ray分布式模式下使用精确匹配在文档级别删除重复的样本。
deduplicator,ray_image_deduplicator,Image¦CPU¦Beta,Deduplicates samples at the document level using exact matching of images in Ray distributed mode. ,在光线分布模式下使用图像的精确匹配在文档级别删除重复样本。
deduplicator,ray_video_deduplicator,Video¦CPU¦Beta,Deduplicates samples at document-level using exact matching of videos in Ray distributed mode. ,在Ray分布式模式下使用视频的精确匹配在文档级删除重复样本。
deduplicator,video_deduplicator,Video¦CPU¦Stable,Deduplicates samples at the document level using exact matching of videos. ,使用视频的精确匹配在文档级别删除重复的样本。
filter,alphanumeric_filter,Text¦CPU¦HF¦Stable,Filter to keep samples with an alphabet/numeric ratio within a specific range. ,过滤器，以保持具有特定范围内的字母/数字比率的样本。
